"Name","ItemSWF","ItemExportName","UpcomingItemExportName","LoadSWF","TitleTID","InfoTID","UpcomingTitleTID","IconSWF","IconExportName","ButtonTID","ButtonAction","ButtonActionData","ActionType","Button2TID","Button2Action","Button2ActionData","ButtonLanguage"
"String","String","String","String","Boolean","String","String","String","String","String","String","String","String","String","String","String","String","String"
"ArmyBoost","sc/events.sc","event_entry_boost_training","event_upcoming_boost_training","TRUE","TID_EVENT_ARMY_BOOST","TID_EVENT_ARMY_BOOST_INFO",,"sc/characters.sc","wizard1_run1_3","TID_OPEN_TRAIN_TROOPS","OpenTrainTroops",,,,,,
"SpellBoost","sc/events.sc","event_entry_boost_brewing","event_upcoming_boost_brewing","TRUE","TID_EVENT_SPELL_BOOST","TID_EVENT_SPELL_BOOST_INFO",,"sc/characters.sc","wizard1_run1_3","TID_OPEN_TRAIN_SPELLS","OpenTrainSpells",,,,,,
"ArmySpellBoost","sc/events.sc","event_entry_boost_training_brewing","event_upcoming_boost_training_brewing","TRUE","TID_EVENT_ARMYSPELL_BOOST","TID_EVENT_ARMYSPELL_BOOST_INFO",,"sc/characters.sc","wizard1_run1_3","TID_OPEN_TRAIN_TROOPS",,,,,,,
"CollectorBoost","sc/events.sc","event_entry_boost_collectors","event_upcoming_boost_collectors","TRUE","TID_EVENT_COLLECTOR_BOOST","TID_COLLECTOR_BOOST_INFO",,"sc/characters.sc","wizard1_run1_3",,,,,,,,
"Halloween","sc/events.sc","event_entry_halloween","event_upcoming_halloween","TRUE","TID_EVENT_3_TITLE","TID_EVENT_3_INFO",,"sc/characters.sc","wizard1_run1_3","TID_NEWS_BUTTON_GO","OpenWeb","http://www.clashofclans.com",,,,,
"ClanWar","sc/events.sc","event_entry_xp_clan_war","event_upcoming_xp_clan_war","TRUE","TID_EVENT_CW_TITLE","TID_EVENT_CW_INFO",,"sc/characters.sc","wizard1_run1_3",,"OpenTrainSpells",,,,,,
"Christmas","sc/events.sc","event_entry_xmas","event_upcoming_xmas","TRUE","TID_EVENT_CHRISTMAS","TID_EVENT_CHRISTMAS_INFO",,"sc/ui.sc","icon_unit_iceWizard",,,,,,,,
"StarBonus","sc/events.sc","event_entry_starbonus","event_upcoming_starbonus","TRUE","TID_EVENT_STAR_BONUS","TID_EVENT_STAR_BONUS_INFO",,,,,,,,,,,
"TroopDiscountGolem","sc/events.sc","event_entry_discount_golem","event_upcoming_discount_golem","TRUE","TID_EVENT_TROOP","TID_EVENT_TROOP_INFO",,"sc/characters.sc","wizard1_run1_3","TID_OPEN_TRAIN_TROOPS","OpenTrainTroops",,,,,,
"ChristmasSpell","sc/events.sc","event_entry_xmas_spell","event_upcoming_mystery1","TRUE","TID_EVENT_CHRISTMAS_SPELL","TID_EVENT_CHRISTMAS_SPELL_INFO","TID_EVENT_CHRISTMAS_SPELL_UPCOMING","sc/buildings.sc","bomb_xmas_setup","TID_OPEN_TRAIN_SPELLS","OpenTrainSpells",,,"TID_WATCH","OpenWeb","https://youtu.be/w0J3S5xnsJA","EN"
,,,,,,,,,,,,,,,,"https://youtu.be/wd7qdHZ6IIk","KR"
,,,,,,,,,,,,,,,,"http://v.youku.com/v_show/id_XMTg3NDMwMTQyMA==.html","CN"
,,,,,,,,,,,,,,,,"https://youtu.be/agfClkPkZMM","CNT"
,,,,,,,,,,,,,,,,"http://supr.cl/santaJP","JP"
"ChristmasTrap","sc/events.sc","event_entry_xmas_trap","event_upcoming_mystery2","TRUE","TID_EVENT_CHRISTMAS_TRAP","TID_EVENT_CHRISTMAS_TRAP_INFO","TID_EVENT_CHRISTMAS_TRAP_UPCOMING","sc/buildings.sc","Freeze_trap_unarmed","TID_OPEN_SHOP_TRAPS","OpenShop",,,"TID_WATCH","OpenWeb","https://www.youtube.com/watch?v=QkYpyKHVWv4","EN"
,,,,,,,,,,,,,,,,"https://youtu.be/OqVC-BI5Fz0","KR"
,,,,,,,,,,,,,,,,"http://v.youku.com/v_show/id_XMTg3NDMyOTAwMA==.html","CN"
,,,,,,,,,,,,,,,,"https://youtu.be/u_CrS2EYjUQ","CNT"
,,,,,,,,,,,,,,,,"http://supr.cl/freezeJP","JP"
"ChristmasUnit","sc/events.sc","event_entry_xmas_unit","event_upcoming_mystery3","TRUE","TID_EVENT_CHRISTMAS_UNIT","TID_EVENT_CHRISTMAS_UNIT_INFO","TID_EVENT_CHRISTMAS_UNIT_UPCOMING","sc/characters.sc","ice_wizard1_run1_3","TID_OPEN_TRAIN_TROOPS","OpenTrainTroops",,,"TID_WATCH","OpenWeb","https://youtu.be/YzByppj3GB4","EN"
,,,,,,,,,,,,,,,,"https://youtu.be/o0QpgiooIWM","KR"
,,,,,,,,,,,,,,,,"http://v.youku.com/v_show/id_XMTg3NDMyOTY0NA==.html","CN"
,,,,,,,,,,,,,,,,"https://youtu.be/tzjcLpjee30","CNT"
,,,,,,,,,,,,,,,,"http://supr.cl/icewizJP","JP"
"TroopDiscountDragon","sc/events.sc","event_entry_discount_dragon","event_upcoming_discount_dragon","TRUE","TID_EVENT_TROOP","TID_EVENT_TROOP_INFO",,"sc/characters.sc","wizard1_run1_3","TID_OPEN_TRAIN_TROOPS","OpenTrainTroops",,,,,,
"SpellDiscountJump","sc/events.sc","event_entry_discount_jump","event_upcoming_discount_jump","TRUE","TID_EVENT_SPELL","TID_EVENT_SPELL_INFO",,"sc/characters.sc","wizard1_run1_3","TID_OPEN_TRAIN_SPELLS","OpenTrainSpells",,,,,,
"TroopDiscountHealer","sc/events.sc","event_entry_discount_healer","event_upcoming_discount_healer","TRUE","TID_EVENT_TROOP","TID_EVENT_TROOP_INFO",,"sc/characters.sc","wizard1_run1_3","TID_OPEN_TRAIN_TROOPS","OpenTrainTroops",,,,,,
"TroopDiscountWizard","sc/events.sc","event_entry_discount_wizard","event_upcoming_discount_wizard","TRUE","TID_EVENT_TROOP","TID_EVENT_TROOP_INFO",,"sc/characters.sc","wizard1_run1_3","TID_OPEN_TRAIN_TROOPS","OpenTrainTroops",,,,,,
"TroopDiscountPekka","sc/events.sc","event_entry_discount_pekka","event_upcoming_discount_pekka","TRUE","TID_EVENT_TROOP","TID_EVENT_TROOP_INFO",,"sc/characters.sc","wizard1_run1_3","TID_OPEN_TRAIN_TROOPS","OpenTrainTroops",,,,,,
"TroopDiscountHog","sc/events.sc","event_entry_discount_hog","event_upcoming_discount_hog","TRUE","TID_EVENT_TROOP","TID_EVENT_TROOP_INFO",,"sc/characters.sc","wizard1_run1_3","TID_OPEN_TRAIN_TROOPS","OpenTrainTroops",,,,,,
"TroopDiscountLoon","sc/events.sc","event_entry_discount_loon","event_upcoming_discount_loon","TRUE","TID_EVENT_TROOP","TID_EVENT_TROOP_INFO",,"sc/characters.sc","wizard1_run1_3","TID_OPEN_TRAIN_TROOPS","OpenTrainTroops",,,,,,
"TroopDiscountWitch","sc/events.sc","event_entry_discount_witch","event_upcoming_discount_witch","TRUE","TID_EVENT_TROOP","TID_EVENT_TROOP_INFO",,"sc/characters.sc","wizard1_run1_3","TID_OPEN_TRAIN_TROOPS","OpenTrainTroops",,,,,,
"TroopDiscountHound","sc/events.sc","event_entry_discount_hound","event_upcoming_discount_hound","TRUE","TID_EVENT_TROOP","TID_EVENT_TROOP_INFO",,"sc/characters.sc","wizard1_run1_3","TID_OPEN_TRAIN_TROOPS","OpenTrainTroops",,,,,,
