Name,AttackCost,ResourceStorageLootPercentage,DarkElixirStorageLootPercentage,ResourceStorageLootCap,DarkElixirStorageLootCap,WarPrizeResourceCap,WarPrizeDarkElixirCap,WarPrizeAllianceExpCap,CartLootCapResource,CartLootCapDarkElixir,Troop Housing,Elixir Storage,Gold Storage,Elixir Pump,Gold Mine,Barrack,Cannon,Wall,Archer Tower,Wizard Tower,Air Defense,Mortar,Alliance Castle,Ejector,Superbomb,Mine,Worker Building,Laboratory,Communications mast,Tesla Tower,Spell Forge,Mini Spell Factory,Bow,Halloweenbomb,Slowbomb,Hero Altar Barbarian King,Dark Elixir Pump,Dark Elixir Storage,Hero Altar Archer Queen,AirTrap,MegaAirTrap,Dark Elixir Barrack,Dark Tower,SantaTrap,StrengthMaxTroopTypes,Totem,Halloweenskels,Air Blaster,Hero Altar Grand Warden,Mega Cannon,Ancient Artillery,Bomb Tower,TreasuryGold,TreasuryElixir,TreasuryDarkElixir,TreasuryWarGold,TreasuryWarElixir,TreasuryWarDarkElixir,FriendlyCost,PackElixir,PackGold,FreezeBomb,Gem Mine,Barrack Mod,Wizard Tesla Tower,Giant Tower,Barbarian Tower,Gem Storage,Town Hall,Hero Altar P.E.K.K.A King,Ice Wizard Tower,Electro Wizard Tower,Hero Altar Giant King,elder ground Tower,Bow Ice Wizard,Archer Queen Tower,Hero Altar Ice Wizard King,Barbarian king Tower
String,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
1,10,20,6,200000,2000,1000,0,1,300000,0,2,4800,4800,4800,4800,4800,4800,,,,,,4800,,,,4800,,,,,,,,,,,,,,,,,,6,,,,,,,,0,0,0,1000,1000,0,0,0,0,,,4800,,,,,,,,,,,,,,
2,50,20,6,200000,2000,2500,0,1,300000,0,,,,4800,4800,4800,,60000,4800,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,5000,5000,0,0,0,0,,,,,4800,,,,,,,,,,4800,,
3,75,20,6,200000,2000,6250,0,1,300000,0,2,4800,4800,4800,4800,,,60000,,,,4800,,,,4800,,4800,,,,,,,,,,,,,,,,,6,,,,,,,,,,,50000,50000,0,0,0,0,,,,,,,,,,,,4800,4800,,,4800,
4,110,20,6,200000,2000,12500,0,2,300000,0,,,,4800,4800,4800,,60000,4800,,4800,,,4800,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,150000,150000,0,0,100000,100000,,,,,,,,,,,,,,,4800,,
5,170,20,6,200000,2000,20000,0,2,300000,0,2,,,4800,4800,,4800,60000,4800,4800,,,,,,4800,,,,,4800,,,,,,,,,4800,,,,,6,,,,,,,,,,,300000,300000,0,0,300000,300000,4800,,,,,,,,,,,,,,4800,,4800
6,250,20,6,200000,2000,30000,0,2,300000,0,,,,4800,4800,,,60000,,4800,4800,4800,,4800,4800,,,,,,,,,,,,,,,,,,,,6,,,4800,,,,,,,,500000,500000,0,0,500000,500000,,,,,,,,,,,,,,,,,4800
7,380,18,6,250000,2000,40000,125,3,300000,3000,2,,,,,4800,4800,60000,4800,,4800,4800,,,4800,4800,,,,4800,,,,,,4800,4800,4800,,,4800,4800,,,6,,,,,,,,,,,800000,800000,3000,0,700000,700000,,,,4800,,,,,,,,,,,4800,,4800
8,580,16,6,300000,2000,55000,200,4,300000,3000,,4800,4800,,,,,60000,4800,4800,,4800,,4800,4800,,,,,4800,,4800,,,,,4800,,,4800,4800,4800,,,7,,4800,,,,,4800,,,,1200000,1200000,6000,0,800000,800000,,,,,,4800,,,4800,,,,,,4800,,4800
9,750,14,5,350000,2500,70000,333,5,300000,3000,,4800,4800,,,,,60000,4800,4800,4800,,,,4800,,,,,4800,,,4800,,,,,,4800,,4800,,,,9,4800,4800,4800,,,,,,,,1600000,1600000,8000,0,900000,900000,,,,,,,,,,,,,,4800,4800,,4800
10,900,12,4,400000,3000,90000,500,7,300000,3000,,,,4800,4800,,4800,60000,4800,,,,,,4800,,,,,,,,4800,,,,4800,,,4800,4800,,4800,,11,4800,4800,,,,,4800,,,,2000000,2000000,10000,0,1000000,1000000,,,,,,,,,,,,,,4800,4800,,4800
11,1000,10,4,450000,3500,110000,600,10,300000,3000,,,,,,,4800,60000,4800,4800,,,,,,,,,,,,,4800,4800,4800,,,,,,,,,4800,15,,,,4800,4800,4800,,,,,2400000,2400000,12000,0,1000000,1000000,,4800,,,,,4800,4800,,4800,4800,,,4800,4800,,4800
